"","trip_id","trip_start","trip_end","individual"
"236","1104926",2014-02-20 00:01:00,2014-02-23 23:59:00,15
"237","1104927",2014-02-25 00:01:00,2014-02-28 23:59:00,15
"238","1104928",2014-03-03 00:01:00,2014-03-04 23:59:00,15
"239","1104929",2014-03-09 00:01:00,2014-03-12 23:59:00,15
"240","1104930",2014-03-15 00:01:00,2014-03-19 23:59:00,15
"241","1104931",2014-03-22 00:01:00,2014-03-25 23:59:00,15
"242","1104932",2014-04-25 00:01:00,2014-04-29 23:59:00,15
"243","1104933",2014-05-01 00:01:00,2014-05-05 23:59:00,15
"244","1104934",2014-05-07 00:01:00,2014-05-11 23:59:00,15
"245","1104935",2014-05-15 00:01:00,2014-05-19 23:59:00,15
"246","1104936",2014-05-20 00:01:00,2014-05-23 23:59:00,15
"247","1104937",2014-06-16 00:01:00,2014-06-16 23:59:00,15
"248","1104938",2014-06-16 00:01:00,2014-06-17 23:59:00,15
"249","1104939",2014-06-18 00:01:00,2014-06-21 23:59:00,15
"250","1104940",2014-06-21 00:01:00,2014-06-23 23:59:00,15
"251","1104941",2014-06-23 00:01:00,2014-06-25 23:59:00,15
"252","1104942",2014-06-25 00:01:00,2014-06-28 23:59:00,15
"253","1104943",2014-06-28 00:01:00,2014-06-30 23:59:00,15
"254","1104944",2014-07-01 00:01:00,2014-07-01 23:59:00,15
"255","1107845",2014-07-24 00:01:00,2014-07-27 23:59:00,10
"256","1107846",2014-07-30 00:01:00,2014-08-01 23:59:00,10
"257","1107847",2014-08-06 00:01:00,2014-08-07 23:59:00,10
"258","1107848",2014-08-07 00:01:00,2014-08-09 23:59:00,10
"259","1107849",2014-08-09 00:01:00,2014-08-12 23:59:00,10
"260","1107850",2014-08-14 00:01:00,2014-08-17 23:59:00,10
"261","1107851",2014-08-18 00:01:00,2014-08-21 23:59:00,10
"262","1107852",2014-08-21 00:01:00,2014-08-23 23:59:00,10
"263","1107853",2014-08-24 00:01:00,2014-08-26 23:59:00,10
"264","1107854",2014-08-27 00:01:00,2014-08-29 23:59:00,10
"265","1107855",2014-08-30 00:01:00,2014-08-31 23:59:00,10
"266","1107856",2014-08-31 00:01:00,2014-09-02 23:59:00,10
"267","1107857",2014-09-02 00:01:00,2014-09-03 23:59:00,10
"268","1107858",2014-09-04 00:01:00,2014-09-05 23:59:00,10
"269","1107859",2014-09-06 00:01:00,2014-09-07 23:59:00,10
"270","1107860",2014-09-08 00:01:00,2014-09-09 23:59:00,10
"271","1107861",2014-09-09 00:01:00,2014-09-10 23:59:00,10
"272","1107862",2014-09-11 00:01:00,2014-09-12 23:59:00,10
"273","1107863",2014-09-13 00:01:00,2014-09-13 23:59:00,10
"274","1107864",2014-09-15 00:01:00,2014-09-16 23:59:00,10
"275","1107865",2014-09-21 00:01:00,2014-09-22 23:59:00,10
"276","1107866",2014-09-22 00:01:00,2014-09-24 23:59:00,10
"277","1107867",2014-09-25 00:01:00,2014-09-27 23:59:00,10
"278","1107868",2014-09-27 00:01:00,2014-09-29 23:59:00,10
"279","1107869",2014-09-30 00:01:00,2014-10-02 23:59:00,10
"280","1107870",2014-10-02 00:01:00,2014-10-02 23:59:00,10
"281","1107871",2014-10-03 00:01:00,2014-10-04 23:59:00,10
"282","1107872",2014-10-06 00:01:00,2014-10-07 23:59:00,10
"283","1107873",2014-10-09 00:01:00,2014-10-11 23:59:00,10
"284","1107874",2014-10-12 00:01:00,2014-10-13 23:59:00,10
"285","1107875",2014-10-27 00:01:00,2014-10-31 23:59:00,10
"286","1107876",2014-11-01 00:01:00,2014-11-03 23:59:00,10
"287","1107877",2014-10-30 00:01:00,2014-10-31 23:59:00,16
"288","1107878",2014-10-31 00:01:00,2014-11-01 23:59:00,16
"289","1107879",2014-11-02 00:01:00,2014-11-03 23:59:00,16
"290","1107880",2014-11-08 00:01:00,2014-11-10 23:59:00,16
"291","1107881",2014-07-05 00:01:00,2014-07-08 23:59:00,17
"292","1107882",2014-07-08 00:01:00,2014-07-11 23:59:00,17
"293","1107883",2014-07-12 00:01:00,2014-07-14 23:59:00,17
"294","1107884",2014-07-14 00:01:00,2014-07-16 23:59:00,17
"295","1107885",2014-07-16 00:01:00,2014-07-18 23:59:00,17
"296","1107886",2014-07-19 00:01:00,2014-07-19 23:59:00,17
"297","1107887",2014-07-20 00:01:00,2014-07-22 23:59:00,17
"298","1107888",2014-07-22 00:01:00,2014-07-26 23:59:00,17
"299","1107889",2014-07-26 00:01:00,2014-07-29 23:59:00,17
"300","1107890",2014-07-31 00:01:00,2014-08-01 23:59:00,17
"301","1107891",2014-08-03 00:01:00,2014-08-05 23:59:00,17
"302","1107892",2014-08-05 00:01:00,2014-08-07 23:59:00,17
"303","1107893",2014-08-07 00:01:00,2014-08-09 23:59:00,17
"304","1107894",2014-08-10 00:01:00,2014-08-12 23:59:00,17
"305","1107895",2014-08-12 00:01:00,2014-08-15 23:59:00,17
"306","1107896",2014-08-15 00:01:00,2014-08-17 23:59:00,17
"307","1107897",2014-08-17 00:01:00,2014-08-20 23:59:00,17
"308","1107898",2014-08-20 00:01:00,2014-08-22 23:59:00,17
"309","1107899",2014-08-22 00:01:00,2014-08-25 23:59:00,17
"310","1107900",2014-08-25 00:01:00,2014-08-27 23:59:00,17
"311","1107901",2014-08-27 00:01:00,2014-08-28 23:59:00,17
"312","1107902",2014-08-29 00:01:00,2014-08-30 23:59:00,17
"313","1107903",2014-08-30 00:01:00,2014-09-01 23:59:00,17
"314","1107904",2014-09-01 00:01:00,2014-09-03 23:59:00,17
"315","1107905",2014-09-03 00:01:00,2014-09-05 23:59:00,17
"316","1107906",2014-09-05 00:01:00,2014-09-06 23:59:00,17
"317","1107907",2014-09-07 00:01:00,2014-09-08 23:59:00,17
"318","1104629",2014-08-19 00:01:00,2014-08-19 23:59:00,18
"319","1104630",2014-08-21 00:01:00,2014-08-21 23:59:00,18
"320","1104563",2014-05-05 00:01:00,2014-05-08 23:59:00,14
"321","1104564",2014-05-10 00:01:00,2014-05-13 23:59:00,14
"322","1104565",2014-05-16 00:01:00,2014-05-18 23:59:00,14
"323","1104566",2014-05-21 00:01:00,2014-05-22 23:59:00,14
"324","1104567",2014-06-22 00:01:00,2014-06-24 23:59:00,14
"325","1104568",2014-06-28 00:01:00,2014-06-30 23:59:00,14
"326","1104569",2014-07-05 00:01:00,2014-07-07 23:59:00,14
"327","1104570",2014-07-11 00:01:00,2014-07-14 23:59:00,14
"328","1104571",2014-07-20 00:01:00,2014-07-24 23:59:00,14
"329","1104572",2014-07-27 00:01:00,2014-07-29 23:59:00,14
"330","1104573",2014-11-07 00:01:00,2014-11-09 23:59:00,14
"331","1104574",2014-11-17 00:01:00,2014-11-19 23:59:00,14
"332","1104575",2014-06-14 00:01:00,2014-06-16 23:59:00,19
"333","1104576",2014-06-16 00:01:00,2014-06-17 23:59:00,19
"334","1104577",2014-06-18 00:01:00,2014-06-20 23:59:00,19
"335","1104578",2014-06-20 00:01:00,2014-06-22 23:59:00,19
"336","1104579",2014-06-22 00:01:00,2014-06-25 23:59:00,19
"337","1104580",2014-06-25 00:01:00,2014-06-28 23:59:00,19
"338","1104581",2014-06-29 00:01:00,2014-06-30 23:59:00,19
"339","1104582",2014-06-30 00:01:00,2014-07-01 23:59:00,19
"340","1104583",2014-07-02 00:01:00,2014-07-03 23:59:00,19
"341","1104584",2014-07-04 00:01:00,2014-07-05 23:59:00,19
"342","1104585",2014-07-05 00:01:00,2014-07-06 23:59:00,19
"343","1104586",2014-07-07 00:01:00,2014-07-09 23:59:00,19
"344","1104587",2014-07-10 00:01:00,2014-07-11 23:59:00,19
"345","1104588",2014-07-12 00:01:00,2014-07-14 23:59:00,19
"346","1104589",2014-07-14 00:01:00,2014-07-16 23:59:00,19
"347","1104590",2014-07-16 00:01:00,2014-07-18 23:59:00,19
"348","1104591",2014-07-19 00:01:00,2014-07-20 23:59:00,19
"349","1104592",2014-07-21 00:01:00,2014-07-21 23:59:00,19
"350","1104593",2014-07-21 00:01:00,2014-07-23 23:59:00,19
"351","1104594",2014-07-23 00:01:00,2014-07-25 23:59:00,19
"352","1104595",2014-07-25 00:01:00,2014-07-26 23:59:00,19
"353","1104596",2014-07-26 00:01:00,2014-07-27 23:59:00,19
"354","1104597",2014-07-29 00:01:00,2014-07-30 23:59:00,19
"355","1104598",2014-07-31 00:01:00,2014-08-01 23:59:00,19
"356","1104599",2014-08-01 00:01:00,2014-08-02 23:59:00,19
"357","1104600",2014-08-03 00:01:00,2014-08-04 23:59:00,19
"358","1104601",2014-08-05 00:01:00,2014-08-06 23:59:00,19
"359","1104602",2014-08-07 00:01:00,2014-08-08 23:59:00,19
"360","1104603",2014-08-09 00:01:00,2014-08-10 23:59:00,19
"361","1104604",2014-08-11 00:01:00,2014-08-12 23:59:00,19
"362","1104605",2014-08-12 00:01:00,2014-08-13 23:59:00,19
"363","1104606",2014-08-14 00:01:00,2014-08-15 23:59:00,19
"364","1104607",2014-08-15 00:01:00,2014-08-16 23:59:00,19
"365","1104608",2014-11-02 00:01:00,2014-11-03 23:59:00,19
"366","1104609",2014-11-04 00:01:00,2014-11-05 23:59:00,19
"367","1104610",2014-01-04 00:01:00,2014-01-08 23:59:00,20
"368","1104611",2014-01-13 00:01:00,2014-01-16 23:59:00,20
"369","1104612",2014-01-18 00:01:00,2014-01-21 23:59:00,20
"370","1104613",2014-01-25 00:01:00,2014-01-28 23:59:00,20
"371","1104614",2014-02-01 00:01:00,2014-02-05 23:59:00,20
"372","1104615",2014-02-09 00:01:00,2014-02-11 23:59:00,20
"373","1104616",2014-02-23 00:01:00,2014-02-26 23:59:00,20
"374","1104617",2014-03-01 00:01:00,2014-03-02 23:59:00,20
"375","1104618",2014-03-07 00:01:00,2014-03-08 23:59:00,20
"376","1104619",2014-03-23 00:01:00,2014-03-27 23:59:00,20
"377","1104620",2014-04-03 00:01:00,2014-04-07 23:59:00,20
"378","1104621",2014-04-13 00:01:00,2014-04-15 23:59:00,20
"379","1104622",2014-12-03 00:01:00,2014-12-07 23:59:00,20
"380","1104623",2014-12-26 00:01:00,2014-12-30 23:59:00,20
"381","1104624",2014-03-07 00:01:00,2014-03-08 23:59:00,18
"382","1104625",2014-03-09 00:01:00,2014-03-12 23:59:00,18
"383","1104626",2014-03-17 00:01:00,2014-03-20 23:59:00,18
"384","1104627",2014-03-22 00:01:00,2014-03-24 23:59:00,18
"385","1104628",2014-03-31 00:01:00,2014-04-04 23:59:00,18
"386","1107908",2014-09-08 00:01:00,2014-09-09 23:59:00,17
"387","1107909",2014-09-10 00:01:00,2014-09-10 23:59:00,17
"388","1107910",2014-09-11 00:01:00,2014-09-12 23:59:00,17
"389","1107911",2014-09-13 00:01:00,2014-09-15 23:59:00,17
"390","1107912",2014-09-15 00:01:00,2014-09-17 23:59:00,17
"391","1107913",2014-09-20 00:01:00,2014-09-21 23:59:00,17
"392","1107914",2014-09-22 00:01:00,2014-09-22 23:59:00,17
"393","1107915",2014-09-23 00:01:00,2014-09-23 23:59:00,17
"394","1107916",2014-10-12 00:01:00,2014-10-14 23:59:00,17
"395","1107917",2014-10-14 00:01:00,2014-10-16 23:59:00,17
"396","1107918",2014-10-28 00:01:00,2014-10-30 23:59:00,17
"397","1107919",2014-10-30 00:01:00,2014-11-01 23:59:00,17
